session,sales,duration,clicks,items,buy
12,0,179.445,2,1,1
268,0,461.426,2,2,0
396,0,531.422,3,3,1
524,0,190.816,2,2,0
652,0,2235.66,4,3,0
908,0,53.09,2,2,0
1036,0,480.766,3,3,0
1164,0,164.782,2,1,0
1292,0,8.78,2,1,0
1548,0,416.681,7,6,0
1676,0,53.598,3,1,0
1804,0,27.738,2,1,0
1932,0,205.228,3,2,0
2188,0,436.208,6,5,0
2316,0,198.327,4,3,0
2444,0,85.522,3,3,0
2572,0,75.82,2,2,0
2828,0,1769.468,4,3,0
2956,0,1014.564,10,10,0
3084,0,502.783,5,3,1
3212,0,141.686,3,3,0
3468,0,101.727,4,2,1
3596,0,244.098,5,2,0
3724,0,409.483,5,4,0
3852,0,307.299,5,4,1
4108,0,400.75,6,3,0
4236,0,2.512,2,2,0
4364,0,349.192,6,6,0
4492,0,328.461,4,4,0
4748,0,1161.859,3,2,0
4876,0,2702.6,4,4,0
5004,0,226.845,4,1,0
5132,0,35.26,2,2,0
5388,0,88.379,2,2,0
5516,0,29.78,2,2,0
5644,0,0.29,2,2,0
5772,0,0.0,1,1,0
6028,0,1362.937,17,17,0
6156,0,2137.626,10,6,0
6284,0,68.354,3,1,1
6412,0,122.369,2,2,0
6668,0,0.0,1,1,0
6796,0,203.12,4,2,0
6924,0,257.127,7,3,0
7052,0,2717.718,4,1,0
7308,0,290.566,6,3,0
7436,0,75.128,2,2,0
7564,0,131.948,3,3,0
7692,0,99.179,2,2,0
7948,0,282.261,2,2,0
8076,0,366.861,12,12,0
8204,0,31.28,2,1,1
8332,0,250.063,5,4,0
8588,0,3511.509,3,2,0
8716,0,175.341,3,3,0
8844,0,2576.492,3,2,0
8972,0,101.595,3,3,0
9228,0,1021.369,6,6,0
9356,0,351.2,4,4,0
9484,0,402.066,3,2,0
9612,0,0.0,1,1,0
9868,0,0.0,1,1,0
9996,0,331.062,8,7,0
10124,0,0.0,1,1,0
10252,0,55.414,2,2,0
10508,0,208.928,6,4,0
10636,0,330.181,6,5,0
10764,0,2322.86,5,3,0
10892,0,3197.58,15,13,1
11148,0,39.966,2,2,0
