session,sales,duration,clicks,items,buy
21,0,1181.46,6,2,1
149,0,61.204,2,2,0
277,0,841.419,14,9,1
533,0,27.61,2,1,0
661,0,166.048,5,4,0
789,0,43.923,2,2,0
917,0,17.238,2,1,0
1173,0,585.301,3,3,0
1301,0,237.253,2,2,0
1429,0,375.683,2,2,0
1557,0,61.688,2,2,0
1813,0,177.357,2,2,0
1941,0,78.947,2,1,0
2069,0,233.037,3,3,0
2197,0,341.04,8,7,0
2453,0,263.954,3,3,0
2581,0,58.314,2,2,0
2709,0,228.981,4,3,0
2837,0,0.0,1,1,0
3093,0,808.524,6,5,0
3221,0,374.989,3,3,0
3349,0,1570.322,17,13,0
3477,0,478.312,8,4,0
3733,0,149.467,5,4,0
3861,0,55.196,3,2,0
3989,0,539.682,3,3,0
4117,0,1.51,2,1,0
4373,0,226.999,2,1,0
4501,0,253.171,4,4,0
4629,0,988.979,7,7,0
4757,0,885.421,6,3,0
5013,0,1907.808,18,13,0
5141,0,1327.718,5,4,0
5269,0,354.064,6,6,0
5397,0,503.109,5,3,0
5653,0,494.636,2,1,1
5781,0,148.839,2,2,0
5909,0,318.949,3,2,0
6037,0,230.995,2,1,0
6293,0,210.019,5,5,0
6421,0,123.97,3,3,0
6549,0,61.52,2,2,0
6677,0,1605.398,12,6,1
6933,0,455.362,3,2,1
7061,0,922.173,2,2,0
7189,0,111.453,4,2,1
7317,0,314.76,5,5,0
7573,0,528.081,8,7,0
7701,0,31.163,2,2,0
7829,0,372.718,2,1,0
7957,0,330.744,6,5,0
8213,0,0.0,1,1,0
8341,0,201.505,2,2,0
8469,0,12.117,2,2,0
8597,0,538.558,7,1,0
8853,0,153.033,5,4,0
8981,0,0.0,1,1,0
9109,0,326.082,6,6,0
9237,0,27.199,2,2,0
9493,0,1406.591,8,5,0
9621,0,24.455,2,1,0
9749,0,0.0,1,1,0
9877,0,231.958,3,2,0
10133,0,93.223,2,1,0
10261,0,921.997,3,1,0
10389,0,406.552,6,2,0
10517,0,0.0,1,1,0
10773,0,42.785,2,2,0
10901,0,488.752,5,5,0
11029,0,36.976,2,1,0
11157,0,41.956,2,2,0
11413,0,605.465,8,6,1
11541,0,668.963,4,2,0
11669,0,98.094,5,4,0
11797,0,44.6,2,2,0
12053,0,113.653,3,3,0
12181,0,2776.801,5,1,0
12309,0,72.202,2,2,0
12437,0,68.069,3,2,0
12693,0,40.059,2,2,0
12821,0,779.042,6,6,0
12949,0,58.607,2,2,0
13077,0,0.91,2,1,0
13333,0,91.04,2,1,0
13461,0,20.489,2,2,0
13589,0,242.416,7,2,1
13717,0,105.674,2,2,0
13973,0,131.711,3,2,0
14101,0,476.778,3,3,0
14229,0,163.447,2,2,0
14357,0,142.189,12,5,0
14613,0,1186.259,8,5,1
14741,0,891.23,9,3,0
14869,0,0.0,1,1,0
