session,sales,duration,clicks,items,buy
1,0,351.029,4,4,0
129,0,330.738,6,5,0
257,0,108.016,3,3,0
513,0,1262.885,9,5,0
641,0,0.0,1,1,0
769,0,96.699,2,1,0
897,0,526.877,3,3,0
1153,0,62.435,2,2,0
1281,0,83.833,2,2,0
1409,0,56.918,4,2,0
1537,0,58.506,2,2,0
1793,0,76.168,2,2,0
1921,0,305.861,7,6,0
2049,0,25.393,2,2,0
2177,0,420.069,15,7,0
2433,0,234.331,4,4,0
2561,0,276.566,3,3,0
2689,0,194.753,3,3,0
2817,0,51.99,2,2,0
3073,0,235.668,5,4,0
3201,0,191.842,3,3,0
3329,0,94.296,2,2,0
3457,0,4.004,2,1,0
3713,0,119.835,3,2,0
3841,0,157.029,5,1,1
3969,0,48.831,4,4,0
4097,0,99.491,2,2,0
4353,0,1.408,2,1,0
4481,0,2.757,5,1,0
4609,0,479.059,8,7,0
4737,0,121.518,2,2,0
4993,0,4045.27,17,10,1
5121,0,8.448,2,2,0
5249,0,150.635,2,2,0
5377,0,37.482,2,2,0
5633,0,268.733,3,3,0
5761,0,1072.13,7,7,1
5889,0,429.362,8,4,1
6017,0,166.717,2,2,0
6273,0,290.379,2,2,0
6401,0,16.549,2,1,1
6529,0,54.365,2,2,0
6657,0,193.842,4,3,0
6913,0,260.465,8,3,0
7041,0,2.866,2,1,0
7169,0,2124.674,14,4,0
7297,0,516.91,6,6,0
7553,0,355.402,2,2,0
7681,0,94.418,2,1,1
7809,0,33.727,2,2,0
7937,0,47.036,2,2,0
8193,0,66.48,3,3,0
8321,0,1465.822,23,15,0
8449,0,113.296,3,2,0
8577,0,232.48,2,2,0
8833,0,43.512,2,2,0
8961,0,53.473,3,3,0
9089,0,158.788,2,2,0
9217,0,25.96,2,2,0
9473,0,49.761,2,2,0
9601,0,0.0,1,1,1
9729,0,72.669,2,2,0
9857,0,47.702,2,2,0
10113,0,1122.98,2,1,0
10241,0,0.0,1,1,0
10369,0,759.656,29,9,0
10497,0,624.858,5,4,0
10753,0,11.941,2,2,0
10881,0,98.524,2,2,0
11009,0,1105.387,3,2,0
11137,0,504.504,6,5,0
11393,0,430.283,7,5,0
11521,0,4.177,2,1,0
11649,0,13.954,2,1,0
11777,0,423.921,3,3,0
12033,0,99.625,3,3,0
12161,0,297.889,4,3,0
12289,0,44.759,2,2,0
12417,0,1024.729,5,2,0
12673,0,1.391,2,1,0
12801,0,1681.359,6,6,0
12929,0,3.499,2,1,0
13057,0,57.078,2,2,0
13313,0,360.489,3,1,1
13441,0,0.0,1,1,0
13569,0,0.0,1,1,0
13697,0,2817.337,7,6,0
13953,0,319.421,3,3,0
14081,0,594.889,2,2,0
14209,0,211.266,2,2,0
14337,0,160.066,2,2,0
14593,0,558.722,6,6,0
14721,0,20.869,2,2,0
14849,0,36.189,2,2,0
14977,0,145.07,4,4,0
